#loop	basepoint	objectives	function
0	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.45455 	initial
1	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.45 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
2	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.42325 	PatMove
3	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.45 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
4	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.39196 	PatMove
5	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.35 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
6	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.36066 	PatMove
7	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
8	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
9	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.65 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
10	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.7 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
11	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.75 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
12	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.8 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
13	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.85 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
14	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.9 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
15	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.95 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
16	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.45 0.5 0.5 0.4 0.5 0.95 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
17	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.36066 	IntMove
18	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
19	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
20	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.45 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
21	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.36066 	PatMove
22	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.55 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
23	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
24	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.65 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
25	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.7 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
26	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.75 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
27	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.8 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
28	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.85 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
29	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.9 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
30	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.95 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
31	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.35 0.5 0.5 0.4 0.5 0.95 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
32	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.4 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.36066 	IntMove
33	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.35 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
34	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.32936 	PatMove
35	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.6 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
36	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.65 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
37	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.7 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
38	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.75 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
39	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.8 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
40	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.85 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
41	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.9 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
42	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.95 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
43	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.25 0.5 0.5 0.4 0.5 0.95 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
44	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.95 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
45	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.55 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.32936 	IntMove
46	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.55 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
47	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.3 0.5 0.5 0.4 0.5 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
48	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.25 0.5 0.5 0.4 0.5 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
49	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.32936 	PatMove
50	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.3 0.5 0.5 0.5 0.2 0.5 0.5 0.4 0.5 0.65 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
