#loop	basepoint	objectives	function
0	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.45455 	initial
1	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.45 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
2	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.42325 	PatMove
3	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.55 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
4	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.6 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
5	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.65 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
6	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.7 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
7	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.75 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
8	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.8 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
9	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.85 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
10	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.9 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
11	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.95 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
12	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.95 0.45 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
13	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	0.5 5.42325 	IntMove
14	0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.4 0.55 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 	33333 33333 	HJ_P_Move
